,Northwest,Northwest,Northwest,Northwest,North Center,North Center,North Center,North Center,South Center,South Center,South Center,South Center,Southeast,Southeast,Southeast,Southeast,Grace,Grace,Grace,Grace
,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,5 cm,5 cm,15 cm,15 cm,shallow,shallow,deep,deep
,Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%),Water Potential (kPa),Water Content (%)
72,3.515604405,13.74,3.810658234,12.65,3.971915495,17.0,4.246195639,15.29,1.6788040180000001,26.99,1.513561248,23.73,1.261827535,25.96,1.3489628830000002,20.71,1.8273743936345601,25.07,2.2333813386239103,26.22
73,3.614098626,12.98,3.9174187710000004,11.99,4.055085354,16.47,4.385306978,14.67,1.7179083869999998,26.42,1.53815464,23.21,1.300169578,25.42,1.377209469,20.13,1.99604155272906,24.45,2.38346878730145,25.6
74,3.7068072180000002,12.31,4.055085354,11.27,4.149540426000001,15.95,4.5289757989999995,14.06,1.761976046,25.88,1.56675107,22.71,1.3427649609999999,24.85,1.412537545,19.54,2.2017345677590296,23.85,2.58545834421578,24.97
75,3.801893963,11.69,4.207266284,10.5,4.255984131,15.38,4.688133821,13.43,1.811340093,25.36,1.5958791469999998,22.18,1.3867558290000002,24.29,1.448771854,18.94,2.43644060660815,23.28,2.8104240548961097,24.35
76,3.9174187710000004,11.09,4.395416153999999,9.73,4.395416153999999,14.71,4.897788193999999,12.72,1.8620871369999998,24.85,1.633051948,21.63,1.4421153519999999,23.72,1.4859356419999998,18.32,2.7676766642916806,22.7,3.0615097156483704,23.72
77,4.045758917,10.5,4.6131757460000005,8.97,4.549880602,13.99,5.17606832,11.92,1.9098532590000001,24.38,1.6710906140000001,21.08,1.4962356559999999,23.17,1.534616983,17.7,3.13498636288261,22.12,3.424656228779,23.09
78,4.187935651,9.86,4.909078762,8.17,4.742419853,13.24,5.508076964,11.1,1.958844674,23.94,1.7179083869999998,20.5,1.5595525030000001,22.63,1.588546749,17.06,3.62704131849177,21.49,3.87745484564688,22.44
79,4.375221052,9.18,5.284452518,7.35,4.965923215,12.48,5.929253246,10.31,2.0183663640000002,23.49,1.761976046,19.9,1.6368165209999999,22.1,1.648162392,16.4,4.333277691235749,20.81,4.4479755570185,21.78
80,4.602565736,8.5,5.714786367,6.56,5.22396189,11.74,6.426877172999999,9.57,2.084490883,22.97,1.8155156630000002,19.29,1.725837892,21.55,1.721868575,15.74,5.31909677630486,20.12,5.27070336712912,21.12
81,4.83058802,7.87,6.194410751,5.85,5.520774393,11.02,6.950243176,8.87,2.177709772,22.33,1.8749945080000001,18.65,1.8323144219999998,21.0,1.803017741,15.11,6.796955428252139,19.42,6.35356885753426,20.44
82,5.069907083,7.3,6.668067692,5.22,5.861381645,10.32,7.447319739,8.29,2.285598803,21.65,1.9453600819999999,17.98,1.958844674,20.44,1.887991349,14.53,9.095878991267519,18.69,7.72665193711643,19.75
83,5.333348955,6.79,7.09577768,4.71,6.280583588,9.64,7.8523563460000005,7.88,2.409905429,20.97,2.0230191790000003,17.34,2.11348904,19.88,1.995262315,13.94,12.9864079048469,17.97,9.89150363662781,19.04
84,5.649369748,6.28,7.464487584,4.31,6.776415076,8.95,8.222426498999999,7.59,2.546830253,20.31,2.098939884,16.77,2.306747189,19.34,2.128139046,13.33,20.265027106948303,17.28,13.4319493664103,18.3
